Region, Date, Frequency, Value
India, 01-01-2023, D,8.3
India, 02-01-2023, D,8.6
India, 03-01-2023, D,8.55
India, 04-01-2023, D,8.42
India, 05-01-2023, D,8.27
India, 06-01-2023, D,8.27
India, 08-01-2023, D,8.17
India, 09-01-2023, D,8.16
India, 10-01-2023, D,8.08
India, 11-01-2023, D,8.03
India, 12-01-2023, D,7.98
India, 13-01-2023, D,7.85
India, 14-01-2023, D,7.65
India, 15-01-2023, D,7.51
India, 16-01-2023, D,7.43
India, 17-01-2023, D,7.33
India, 18-01-2023, D,7.18
India, 19-01-2023, D,7.24
India, 20-01-2023, D,7.24
India, 21-01-2023, D,7.23
India, 22-01-2023, D,7.14
India, 23-01-2023, D,7.09
India, 24-01-2023, D,7.06
India, 25-01-2023, D,7.11
India, 26-01-2023, D,7.16
India, 27-01-2023, D,7.18
India, 28-01-2023, D,7.14
India, 29-01-2023, D,7.12
India, 30-01-2023, D,7.13
India, 31-01-2023, D,7.13
